Date,Description,Amount,Category,Notes
2024-01-05,Grocery Store,-125.50,Groceries,Weekly shopping
2024-01-08,Gas Station,-65.00,Transportation,Fuel
2024-01-10,Restaurant,-45.00,Dining,Dinner with friends
2024-01-12,Electric Bill,-120.00,Utilities,Monthly bill
2024-01-15,Salary,3500.00,Income,Monthly salary
2024-01-18,Internet Bill,-80.00,Utilities,Monthly bill
2024-01-20,Gym Membership,-50.00,Health,Monthly membership
2024-01-22,Coffee Shop,-15.00,Dining,Morning coffee
2024-01-25,Movie Theater,-30.00,Entertainment,Weekend movie
2024-01-28,Grocery Store,-110.00,Groceries,Weekly shopping
2024-02-01,Rent,-1500.00,Housing,Monthly rent
2024-02-03,Gas Station,-70.00,Transportation,Fuel
2024-02-05,Restaurant,-55.00,Dining,Lunch meeting
2024-02-08,Pharmacy,-35.00,Health,Medications
2024-02-10,Online Shopping,-85.00,Shopping,Clothing
